SessionNum,TotalTrial,BlockName,BlockTrial,TrialType,FieldMove,VisFb,VTFx,VTFy,VTFz,TargX,TargY,TargZ
9,1413,B_09,1,1,yz,0,0,1,1,3,5,2
9,1414,B_09,2,1,yz,0,0,1,1,3,5,5
9,1415,B_09,3,1,yz,0,0,1,1,3,2,3
9,1416,B_09,4,1,yz,0,0,1,1,3,5,3
9,1417,B_09,5,1,yz,0,0,1,1,3,3,4
9,1418,B_09,6,1,yz,0,0,1,1,3,4,2
9,1419,B_09,7,1,yz,0,0,1,1,3,2,3
9,1420,B_09,8,1,yz,0,0,1,1,3,5,5
9,1421,B_09,9,1,yz,0,0,1,1,3,3,4
9,1422,B_09,10,1,yz,0,0,1,1,3,1,3
9,1423,B_09,11,1,yz,0,0,1,1,3,4,3
9,1424,B_09,12,1,yz,0,0,1,1,3,2,4
9,1425,B_09,13,1,yz,0,0,1,1,3,3,1
9,1426,B_09,14,1,yz,0,0,1,1,3,2,5
9,1427,B_09,15,1,yz,0,0,1,1,3,3,2
9,1428,B_09,16,1,yz,0,0,1,1,3,4,4
9,1429,B_09,17,1,yz,0,0,1,1,3,2,5
9,1430,B_09,18,1,yz,0,0,1,1,3,4,3
9,1431,B_09,19,1,yz,0,0,1,1,3,2,5
9,1432,B_09,20,1,yz,0,0,1,1,3,2,2
9,1433,B_09,21,1,yz,0,0,1,1,3,3,4
9,1434,B_09,22,1,yz,0,0,1,1,3,5,3
9,1435,B_09,23,1,yz,0,0,1,1,3,3,5
9,1436,B_09,24,1,yz,0,0,1,1,3,4,2
9,1437,B_09,25,1,yz,0,0,1,1,3,1,5
9,1438,B_09,26,1,yz,0,0,1,1,3,5,3
9,1439,B_09,27,1,yz,0,0,1,1,3,3,1
9,1440,B_09,28,1,yz,0,0,1,1,3,2,5
9,1441,B_09,29,1,yz,0,0,1,1,3,4,1
9,1442,B_09,30,1,yz,0,0,1,1,3,2,4
9,1443,B_09,31,1,yz,0,0,1,1,3,5,1
9,1444,B_09,32,1,yz,0,0,1,1,3,3,2
9,1445,B_09,33,1,yz,0,0,1,1,3,2,4
9,1446,B_09,34,1,yz,0,0,1,1,3,4,2
9,1447,B_09,35,1,yz,0,0,1,1,3,4,4
9,1448,B_09,36,1,yz,0,0,1,1,3,3,1
9,1449,B_09,37,1,yz,0,0,1,1,3,3,4
9,1450,B_09,38,1,yz,0,0,1,1,3,4,2
9,1451,B_09,39,1,yz,0,0,1,1,3,1,1
9,1452,B_09,40,1,yz,0,0,1,1,3,5,2
9,1453,B_09,41,1,yz,0,0,1,1,3,5,5
9,1454,B_09,42,1,yz,0,0,1,1,3,3,4
9,1455,B_09,43,1,yz,0,0,1,1,3,3,1
9,1456,B_09,44,1,yz,0,0,1,1,3,2,4
9,1457,B_09,45,1,yz,0,0,1,1,3,3,1
9,1458,B_09,46,1,yz,0,0,1,1,3,3,5
9,1459,B_09,47,1,yz,0,0,1,1,3,2,3
9,1460,B_09,48,1,yz,0,0,1,1,3,2,5
9,1461,B_09,49,1,yz,0,0,1,1,3,4,2
9,1462,B_09,50,1,yz,0,0,1,1,3,2,3
9,1463,B_09,51,1,yz,0,0,1,1,3,4,4
9,1464,B_09,52,1,yz,0,0,1,1,3,4,1
9,1465,B_09,53,1,yz,0,0,1,1,3,4,3
9,1466,B_09,54,1,yz,0,0,1,1,3,3,5
9,1467,B_09,55,1,yz,0,0,1,1,3,5,1
9,1468,B_09,56,1,yz,0,0,1,1,3,1,4
9,1469,B_09,57,1,yz,0,0,1,1,3,5,5
9,1470,B_09,58,1,yz,0,0,1,1,3,2,3
9,1471,B_09,59,1,yz,0,0,1,1,3,1,5
9,1472,B_09,60,1,yz,0,0,1,1,3,1,3
9,1473,B_09,61,1,yz,0,0,1,1,3,5,2
9,1474,B_09,62,1,yz,0,0,1,1,3,3,2
9,1475,B_09,63,1,yz,0,0,1,1,3,1,1
9,1476,B_09,64,1,yz,0,0,1,1,3,3,1
9,1477,B_09,65,1,yz,0,0,1,1,3,4,4
9,1478,B_09,66,1,yz,0,0,1,1,3,5,1
9,1479,B_09,67,1,yz,0,0,1,1,3,2,3
9,1480,B_09,68,1,yz,0,0,1,1,3,5,5
9,1481,B_09,69,1,yz,0,0,1,1,3,5,2
9,1482,B_09,70,1,yz,0,0,1,1,3,2,4
9,1483,B_09,71,1,yz,0,0,1,1,3,1,1
9,1484,B_09,72,1,yz,0,0,1,1,3,5,2
9,1485,B_09,73,1,yz,0,0,1,1,3,4,4
9,1486,B_09,74,1,yz,0,0,1,1,3,3,2
9,1487,B_09,75,1,yz,0,0,1,1,3,1,4
9,1488,B_09,76,1,yz,0,0,1,1,3,2,2
9,1489,B_09,77,1,yz,0,0,1,1,3,5,2
9,1490,B_09,78,1,yz,0,0,1,1,3,1,5
9,1491,B_09,79,1,yz,0,0,1,1,3,2,2
9,1492,B_09,80,1,yz,0,0,1,1,3,5,3
9,1493,B_09,81,1,yz,0,0,1,1,3,3,1
9,1494,B_09,82,1,yz,0,0,1,1,3,5,5
9,1495,B_09,83,1,yz,0,0,1,1,3,1,5
9,1496,B_09,84,1,yz,0,0,1,1,3,2,2
9,1497,B_09,85,1,yz,0,0,1,1,3,4,1
9,1498,B_09,86,1,yz,0,0,1,1,3,2,4
9,1499,B_09,87,1,yz,0,0,1,1,3,5,1
9,1500,B_09,88,1,yz,0,0,1,1,3,1,1
9,1501,B_09,89,1,yz,0,0,1,1,3,5,2
9,1502,B_09,90,1,yz,0,0,1,1,3,1,5
9,1503,B_09,91,1,yz,0,0,1,1,3,4,2
9,1504,B_09,92,1,yz,0,0,1,1,3,2,5
9,1505,B_09,93,1,yz,0,0,1,1,3,1,3
9,1506,B_09,94,1,yz,0,0,1,1,3,3,4
9,1507,B_09,95,1,yz,0,0,1,1,3,3,1
9,1508,B_09,96,1,yz,0,0,1,1,3,5,2
9,1509,B_09,97,1,yz,0,0,1,1,3,4,4
9,1510,B_09,98,1,yz,0,0,1,1,3,4,1
9,1511,B_09,99,1,yz,0,0,1,1,3,5,3
9,1512,B_09,100,1,yz,0,0,1,1,3,1,3
9,1513,B_09,101,1,yz,0,0,1,1,3,5,3
9,1514,B_09,102,1,yz,0,0,1,1,3,1,4
9,1515,B_09,103,1,yz,0,0,1,1,3,4,4
9,1516,B_09,104,1,yz,0,0,1,1,3,2,3
9,1517,B_09,105,1,yz,0,0,1,1,3,3,5
9,1518,B_09,106,1,yz,0,0,1,1,3,4,3
9,1519,B_09,107,1,yz,0,0,1,1,3,4,1
9,1520,B_09,108,1,yz,0,0,1,1,3,3,5
9,1521,B_09,109,1,yz,0,0,1,1,3,4,1
9,1522,B_09,110,1,yz,0,0,1,1,3,4,3
9,1523,B_09,111,1,yz,0,0,1,1,3,2,2
9,1524,B_09,112,1,yz,0,0,1,1,3,5,1
9,1525,B_09,113,1,yz,0,0,1,1,3,3,4
9,1526,B_09,114,1,yz,0,0,1,1,3,1,1
9,1527,B_09,115,1,yz,0,0,1,1,3,2,4
9,1528,B_09,116,1,yz,0,0,1,1,3,3,2
9,1529,B_09,117,1,yz,0,0,1,1,3,5,1
9,1530,B_09,118,1,yz,0,0,1,1,3,1,5
9,1531,B_09,119,1,yz,0,0,1,1,3,1,1
9,1532,B_09,120,1,yz,0,0,1,1,3,3,1
9,1533,B_09,121,1,yz,0,0,1,1,3,2,3
9,1534,B_09,122,1,yz,0,0,1,1,3,4,3
9,1535,B_09,123,1,yz,0,0,1,1,3,4,1
9,1536,B_09,124,1,yz,0,0,1,1,3,2,5
9,1537,B_09,125,1,yz,0,0,1,1,3,3,2
9,1538,B_09,126,1,yz,0,0,1,1,3,5,1
9,1539,B_09,127,1,yz,0,0,1,1,3,1,3
9,1540,B_09,128,1,yz,0,0,1,1,3,4,3
9,1541,B_09,129,1,yz,0,0,1,1,3,1,5
9,1542,B_09,130,1,yz,0,0,1,1,3,5,5
9,1543,B_09,131,1,yz,0,0,1,1,3,4,3
9,1544,B_09,132,1,yz,0,0,1,1,3,3,5
9,1545,B_09,133,1,yz,0,0,1,1,3,1,3
9,1546,B_09,134,1,yz,0,0,1,1,3,3,4
9,1547,B_09,135,1,yz,0,0,1,1,3,4,2
