SessionNum,TotalTrial,BlockName,BlockTrial,TrialType,FieldMove,VisFb,VTFx,VTFy,VTFz,TargX,TargY,TargZ
17,2919,C_17,1,1,xyz,0,1,1,1,5,2,5
17,2920,C_17,2,1,xyz,0,1,1,1,1,5,3
17,2921,C_17,3,1,xyz,0,1,1,1,2,3,2
17,2922,C_17,4,1,xyz,0,1,1,1,5,1,3
17,2923,C_17,5,1,xyz,0,1,1,1,2,4,4
17,2924,C_17,6,1,xyz,0,1,1,1,1,2,2
17,2925,C_17,7,1,xyz,0,1,1,1,5,2,2
17,2926,C_17,8,1,xyz,0,1,1,1,3,2,3
17,2927,C_17,9,1,xyz,0,1,1,1,1,2,5
17,2928,C_17,10,1,xyz,0,1,1,1,2,1,3
17,2929,C_17,11,1,xyz,0,1,1,1,4,3,3
17,2930,C_17,12,1,xyz,0,1,1,1,2,1,2
17,2931,C_17,13,1,xyz,0,1,1,1,3,5,4
17,2932,C_17,14,1,xyz,0,1,1,1,5,3,5
17,2933,C_17,15,1,xyz,0,1,1,1,3,5,2
17,2934,C_17,16,1,xyz,0,1,1,1,3,2,4
17,2935,C_17,17,1,xyz,0,1,1,1,3,5,2
17,2936,C_17,18,1,xyz,0,1,1,1,1,4,5
17,2937,C_17,19,1,xyz,0,1,1,1,1,1,3
17,2938,C_17,20,1,xyz,0,1,1,1,4,2,3
17,2939,C_17,21,1,xyz,0,1,1,1,4,4,5
17,2940,C_17,22,1,xyz,0,1,1,1,4,2,1
17,2941,C_17,23,1,xyz,0,1,1,1,2,1,1
17,2942,C_17,24,1,xyz,0,1,1,1,5,3,1
17,2943,C_17,25,1,xyz,0,1,1,1,1,1,1
17,2944,C_17,26,1,xyz,0,1,1,1,3,4,5
17,2945,C_17,27,1,xyz,0,1,1,1,4,5,1
17,2946,C_17,28,1,xyz,0,1,1,1,4,4,5
17,2947,C_17,29,1,xyz,0,1,1,1,4,5,1
17,2948,C_17,30,1,xyz,0,1,1,1,5,3,2
17,2949,C_17,31,1,xyz,0,1,1,1,1,1,1
